"","X1","X2","X3","X4","X5","X6","Disc","Time","Run","State_Dims","Action_Dims","Method"
"1",0.526038078591228,0.794430465903133,NA,NA,NA,NA,0,0,1,1,1,"LDAS"
"2",0.104176205117255,0.277750417986885,NA,NA,NA,NA,0,2,1,1,1,"LDAS"
"3",0.0241574151441455,0.924823528319597,NA,NA,NA,NA,0.124208716503532,3,1,1,1,"LDAS"
"4",0.470627980772406,0.0573018317334354,NA,NA,NA,NA,0.0704967174765662,4,1,1,1,"LDAS"
"5",0.64220832195133,0.334063174970448,NA,NA,NA,NA,0.292839805767552,5,1,1,1,"LDAS"
"6",0.676802893402055,0.965046012705192,NA,NA,NA,NA,0.61492509358929,6,1,1,1,"LDAS"
"7",0.802085487637669,0.592388205764815,NA,NA,NA,NA,0.596157953358954,7,1,1,1,"LDAS"
"8",0.191103422781453,0.63928377937898,NA,NA,NA,NA,0.334687489994011,8,1,1,1,"LDAS"
"9",0.244624485261738,0.0104051246996969,NA,NA,NA,NA,0.531964929297305,9,1,1,1,"LDAS"
"10",0.0242315176874399,0.0436410443615168,NA,NA,NA,NA,0.658619909353816,10,1,1,1,"LDAS"
"11",0.8058504560031,0.165601612370461,NA,NA,NA,NA,0.626829894549957,11,1,1,1,"LDAS"
"12",0.460262033622712,0.494516031652689,NA,NA,NA,NA,0.567166975170462,12,1,1,1,"LDAS"
"13",0.399078282993287,0.969436608418822,NA,NA,NA,NA,0.569503599410309,13,1,1,1,"LDAS"
"14",0.190880618290976,0.859149393323809,NA,NA,NA,NA,0.657014928483456,14,1,1,1,"LDAS"
"15",0.156317921355367,0.127593261957169,NA,NA,NA,NA,0.883993791897795,15,1,1,1,"LDAS"
"16",0.755933213047683,0.835007854202762,NA,NA,NA,NA,0.795722521168023,16,1,1,1,"LDAS"
"17",0.991657023318112,0.929081509286538,NA,NA,NA,NA,0.795957927355284,17,1,1,1,"LDAS"
